,name,store_page,full_price,discount,final_price,category
174,Overland,https://www.gog.com/game/overland,465,,465,strategy
175,Worms Forts: Under Siege,https://www.gog.com/game/worms_forts_under_siege,149,-74%,39,strategy
176,Fate Hunters,https://www.gog.com/game/fate_hunters,360,,360,strategy
177,Battle Brothers - Warriors of the North,https://www.gog.com/game/battle_brothers_warriors_of_the_north,199,,199,strategy
178,Stronghold HD,https://www.gog.com/game/stronghold,149,,149,strategy
179,Master of Orion 1+2,https://www.gog.com/game/master_of_orion_1_2,199,,199,strategy
180,Panzer General 2,https://www.gog.com/game/panzer_general_2,599,,599,strategy
181,Worms 2,https://www.gog.com/game/worms_2,149,-74%,39,strategy
182,Frostpunk,https://www.gog.com/game/frostpunk,599,,599,strategy
183,Pizza Tycoon 2,https://www.gog.com/game/pizza_connection_2,149,-67%,49,strategy
184,Pizza Tycoon,https://www.gog.com/game/pizza_connection,149,-67%,49,strategy
185,Close Combat 5: Invasion: Normandy - Utah Beach to Cherbourg,https://www.gog.com/game/close_combat_5_invasion_normandy_utah_beach_to_cherbourg,249,,249,strategy
186,Fantasy General II - Invasion Hero Edition,https://www.gog.com/game/fantasy_general_ii_invasion_hero_edition,1085,,1085,strategy
187,Age of Wonders: Planetfall - Revelations,https://www.gog.com/game/age_of_wonders_planetfall_revelations,360,,360,strategy
188,Total Annihilation: Commander Pack,https://www.gog.com/game/total_anihilation_commander_pack,199,,199,strategy
189,Knights and Merchants: The Peasants Rebellion,https://www.gog.com/game/knights_and_merchants_the_peasants_rebellion,169,,169,strategy
190,Worms United,https://www.gog.com/game/worms_united,149,-74%,39,strategy
191,Total Annihilation: Kingdoms + Iron Plague,https://www.gog.com/game/total_annihilation_kingdoms,199,,199,strategy
192,UBOAT,https://www.gog.com/game/uboat,515,,515,strategy
193,Battle Brothers,https://www.gog.com/game/battle_brothers,499,,499,strategy
194,Close Combat 3: The Russian Front,https://www.gog.com/game/close_combat_3_the_russian_front,249,,249,strategy
195,Homeworld: Deserts of Kharak - Soundtrack,https://www.gog.com/game/homeworld_deserts_of_kharak_soundtrack,189,-74%,49,strategy
196,Commandos 2+3,https://www.gog.com/game/commandos_2_3,149,,149,strategy
197,American Conquest + Fight Back,https://www.gog.com/game/american_conquest,299,,299,strategy
198,Imperium Galactica II: Alliances,https://www.gog.com/game/imperium_galactica_ii_alliances,399,,399,strategy
199,SPORE™ Collection,https://www.gog.com/game/spore_collection,499,,499,strategy
200,Democracy 3,https://www.gog.com/game/democracy_3,449,,449,strategy
201,Call to Power 2,https://www.gog.com/game/call_to_power_2,249,,249,strategy
202,Cultures 1+2,https://www.gog.com/game/cultures_12,199,,199,strategy
203,Jagged Alliance 2,https://www.gog.com/game/jagged_alliance_2,199,,199,strategy
204,Robin Hood: The Legend of Sherwood,https://www.gog.com/game/robin_hood,189,,189,strategy
205,Banished,https://www.gog.com/game/banished,399,,399,strategy
206,Polaris Sector - Gold Edition,https://www.gog.com/game/polaris_sector,854,,854,strategy
207,Stellaris: Utopia,https://www.gog.com/game/stellaris_utopia,419,,419,strategy
208,Close Combat 2: A Bridge Too Far,https://www.gog.com/game/close_combat_2_a_bridge_too_far,249,,249,strategy
209,Airline Tycoon Deluxe,https://www.gog.com/game/airline_tycoon_deluxe,249,,249,strategy
210,King Arthur Collection,https://www.gog.com/game/king_arthur_collection,399,,399,strategy
211,Children of the Nile Complete,https://www.gog.com/game/children_of_the_nile_complete,249,,249,strategy
212,Sid Meier’s Railroads!,https://www.gog.com/game/sid_meiers_railroads,349,,349,strategy
213,Corsairs Gold,https://www.gog.com/game/corsairs_gold,149,,149,strategy
214,Strategic Command WWII: World at War,https://www.gog.com/game/strategic_command_wwii_world_at_war,725,,725,strategy
215,Казаки 3,https://www.gog.com/game/cossacks_3,799,,799,strategy
216,Act of War: Gold Edition,https://www.gog.com/game/act_of_war_gold_edition,249,,249,strategy
217,Deep Sky Derelicts,https://www.gog.com/game/deep_sky_derelicts,435,,435,strategy
218,Battle Brothers - Beasts & Exploration,https://www.gog.com/game/battle_brothers_beasts_exploration,259,,259,strategy
219,"Warhammer 40,000: Gladius – Chaos Space Marines",https://www.gog.com/game/warhammer_40000_gladius_chaos_space_marines,360,,360,strategy
220,Strategic Command: World War I,https://www.gog.com/game/strategic_command_world_war_i,725,,725,strategy
221,For The King,https://www.gog.com/game/for_the_king,435,,435,strategy
222,Frostpunk: Game of the Year edition,https://www.gog.com/game/frostpunk_game_of_the_year_edition,1059,,1059,strategy
223,"Settlers®: Rise of an Empire - Gold Edition, The",https://www.gog.com/game/the_settlers_rise_of_an_empire_gold_edition,849,,849,strategy
224,Krush Kill 'N Destroy Xtreme,https://www.gog.com/game/krush_kill_n_destroy_xtreme,149,,149,strategy
225,Battle Chess Special Edition,https://www.gog.com/game/battle_chess_special_edition,249,,249,strategy
226,Imperialism,https://www.gog.com/game/imperialism,299,,299,strategy
227,Renowned Explorers: Definitive Edition,https://www.gog.com/game/renowned_explorers_definitive_edition,799,,799,strategy
228,They Are Billions,https://www.gog.com/game/they_are_billions,899,,899,strategy
229,Rise of Industry,https://www.gog.com/game/rise_of_industry,799,,799,strategy
230,Crying Suns,https://www.gog.com/game/crying_suns,465,,465,strategy
231,Казаки,https://www.gog.com/game/cossacks_anthology,499,,499,strategy
232,Krush Kill ‘N Destroy 2: Krossfire,https://www.gog.com/game/krush_kill_n_destroy_2_krossfire,149,,149,strategy
233,Pirates! Gold Plus,https://www.gog.com/game/pirates_gold_plus,169,,169,strategy
234,Gangsters: Organized Crime,https://www.gog.com/game/gangsters_organized_crime,149,,149,strategy
235,Patrician 3,https://www.gog.com/game/patrician_3,129,,129,strategy
236,Sacrifice,https://www.gog.com/game/sacrifice,249,,249,strategy
237,Empires of the Undergrowth,https://www.gog.com/game/empires_of_the_undergrowth,439,,439,strategy
238,Evil Genius,https://www.gog.com/game/evil_genius,649,,649,strategy
239,Darkest Hour: A Hearts of Iron Game,https://www.gog.com/game/darkest_hour_a_hearts_of_iron_game,199,,199,strategy
240,UBOAT,https://www.gog.com/game/uboat,515,,515,strategy
241,Battle Brothers,https://www.gog.com/game/battle_brothers,499,,499,strategy
242,Close Combat 3: The Russian Front,https://www.gog.com/game/close_combat_3_the_russian_front,249,,249,strategy
243,Homeworld: Deserts of Kharak - Soundtrack,https://www.gog.com/game/homeworld_deserts_of_kharak_soundtrack,189,-74%,49,strategy
244,Commandos 2+3,https://www.gog.com/game/commandos_2_3,149,,149,strategy
245,American Conquest + Fight Back,https://www.gog.com/game/american_conquest,299,,299,strategy
246,Imperium Galactica II: Alliances,https://www.gog.com/game/imperium_galactica_ii_alliances,399,,399,strategy
247,SPORE™ Collection,https://www.gog.com/game/spore_collection,499,,499,strategy
248,Democracy 3,https://www.gog.com/game/democracy_3,449,,449,strategy
249,Call to Power 2,https://www.gog.com/game/call_to_power_2,249,,249,strategy
250,Cultures 1+2,https://www.gog.com/game/cultures_12,199,,199,strategy
251,Jagged Alliance 2,https://www.gog.com/game/jagged_alliance_2,199,,199,strategy
252,Robin Hood: The Legend of Sherwood,https://www.gog.com/game/robin_hood,189,,189,strategy
253,Banished,https://www.gog.com/game/banished,399,,399,strategy
254,Polaris Sector - Gold Edition,https://www.gog.com/game/polaris_sector,854,,854,strategy
255,Stellaris: Utopia,https://www.gog.com/game/stellaris_utopia,419,,419,strategy
256,Close Combat 2: A Bridge Too Far,https://www.gog.com/game/close_combat_2_a_bridge_too_far,249,,249,strategy
257,Airline Tycoon Deluxe,https://www.gog.com/game/airline_tycoon_deluxe,249,,249,strategy
258,King Arthur Collection,https://www.gog.com/game/king_arthur_collection,399,,399,strategy
259,Children of the Nile Complete,https://www.gog.com/game/children_of_the_nile_complete,249,,249,strategy
260,Sid Meier’s Railroads!,https://www.gog.com/game/sid_meiers_railroads,349,,349,strategy
261,Corsairs Gold,https://www.gog.com/game/corsairs_gold,149,,149,strategy
262,Strategic Command WWII: World at War,https://www.gog.com/game/strategic_command_wwii_world_at_war,725,,725,strategy
263,Казаки 3,https://www.gog.com/game/cossacks_3,799,,799,strategy
264,Act of War: Gold Edition,https://www.gog.com/game/act_of_war_gold_edition,249,,249,strategy
265,Deep Sky Derelicts,https://www.gog.com/game/deep_sky_derelicts,435,,435,strategy
266,Battle Brothers - Beasts & Exploration,https://www.gog.com/game/battle_brothers_beasts_exploration,259,,259,strategy
267,"Warhammer 40,000: Gladius – Chaos Space Marines",https://www.gog.com/game/warhammer_40000_gladius_chaos_space_marines,360,,360,strategy
268,Strategic Command: World War I,https://www.gog.com/game/strategic_command_world_war_i,725,,725,strategy
269,For The King,https://www.gog.com/game/for_the_king,435,,435,strategy
270,Frostpunk: Game of the Year edition,https://www.gog.com/game/frostpunk_game_of_the_year_edition,1059,,1059,strategy
271,"Settlers®: Rise of an Empire - Gold Edition, The",https://www.gog.com/game/the_settlers_rise_of_an_empire_gold_edition,849,,849,strategy
272,Krush Kill 'N Destroy Xtreme,https://www.gog.com/game/krush_kill_n_destroy_xtreme,149,,149,strategy
273,Battle Chess Special Edition,https://www.gog.com/game/battle_chess_special_edition,249,,249,strategy
274,Imperialism,https://www.gog.com/game/imperialism,299,,299,strategy
275,Renowned Explorers: Definitive Edition,https://www.gog.com/game/renowned_explorers_definitive_edition,799,,799,strategy
276,They Are Billions,https://www.gog.com/game/they_are_billions,899,,899,strategy
277,Rise of Industry,https://www.gog.com/game/rise_of_industry,799,,799,strategy
278,Crying Suns,https://www.gog.com/game/crying_suns,465,,465,strategy
279,Казаки,https://www.gog.com/game/cossacks_anthology,499,,499,strategy
280,Krush Kill ‘N Destroy 2: Krossfire,https://www.gog.com/game/krush_kill_n_destroy_2_krossfire,149,,149,strategy
281,Pirates! Gold Plus,https://www.gog.com/game/pirates_gold_plus,169,,169,strategy
282,Gangsters: Organized Crime,https://www.gog.com/game/gangsters_organized_crime,149,,149,strategy
283,Patrician 3,https://www.gog.com/game/patrician_3,129,,129,strategy
284,Sacrifice,https://www.gog.com/game/sacrifice,249,,249,strategy
285,Empires of the Undergrowth,https://www.gog.com/game/empires_of_the_undergrowth,439,,439,strategy
286,Evil Genius,https://www.gog.com/game/evil_genius,649,,649,strategy
287,Darkest Hour: A Hearts of Iron Game,https://www.gog.com/game/darkest_hour_a_hearts_of_iron_game,199,,199,strategy
288,Master of Orion,https://www.gog.com/game/master_of_orion,499,,499,strategy
289,Field of Glory II,https://www.gog.com/game/field_of_glory_ii,515,,515,strategy
